# fibonacci, with varying domains
# prog: EXTRA_DOMAINS={doms} CUTOFF=25 ./_build/default/bench/fibonacci/run.exe {impl} 42
# columns: domains, sequential, parabs, domainslib, moonpool-ws, taskflow
1 1.73286 1.74789 1.91183 1.9086 1.18759 
2 1.73688 0.812965 0.890362 0.945431 0.587698 
3 1.69984 0.537957 0.581952 0.635308 0.399244 
4 1.73577 0.404129 0.436397 0.471341 0.304032 
5 1.7366 0.329163 0.350135 0.381915 0.244554 
6 1.72851 0.278946 0.30024 0.320442 0.207544 
7 1.72899 0.269043 0.287834 0.311617 0.197432 
8 1.73471 0.263438 0.280355 0.305055 0.191501 
9 1.73591 0.250768 0.269399 0.293642 0.179677 
10 1.74832 0.243516 0.262091 0.285405 0.172179 
11 1.73371 0.238355 0.254761 0.280121 0.166494 
12 1.74086 0.235482 0.251162 0.27352 0.164435 
13 1.74094 0.240816 0.251447 0.281087 0.163741 
14 1.75292 0.240713 0.25177 0.312609 0.168232 
15 1.72438 0.252472 0.262992 0.337217 0.164197 
