# cutoff, sequential, parabs, domainslib, moonpool-fifo, moonpool-ws
1 0.268613 0.0761964 0.0838532 0.108566 0.108705 
2 0.267863 0.0779573 0.0846165 0.109336 0.109309 
4 0.265852 0.079157 0.0880291 0.111366 0.111077 
8 0.267526 0.0796645 0.0886297 0.111334 0.111562 
16 0.268717 0.0805069 0.087868 0.110852 0.112419 
32 0.267356 0.081933 0.0879988 0.111498 0.111049 
64 0.26534 0.0800454 0.0857623 0.113128 0.114323 
